,Address,Price,Beds,Baths,City,Area,Street,Description
1715,8 York St 3203,750000,1+1,2,,,,"Welcome To The Renowned Waterclub Condos, A Stunning Family Of High-Rise In The Heart Of The Harbourfront And South Of The Financial District! This 1-Bdrm+Den, 2-Bath Suite Boasts A Killer View Of The City/Lake, Upcoming Love Park, Open Concept Kitchen, & Floor-To..."
1716,2 Covington Rd 1009,699998,2,2,,Englemount-Lawrence,Covington Rd,"Bright Corner Suite With Split Bedroom Layout, Large Eat-In Kitchen With Pantry And Window, Spacious Combined Living/Dining Room With W/Out To Private Balcony, Master Suite With A Large Ensuite Bath With Separate Shower And Roman Tub, Hardwood Floors Throughout..."
1717,61 St Clair Ave 305,747000,1,1,,Yonge-St. Clair,St Clair Ave,"Granite Place Offers At Yonge & St. Clair! Freshly Painted 1 Bdrm/1 Bath Ready For Occupancy! Offering App. 850 Sq.Ft., Dark Parquet Flrs, Combined Living/Dining, Walk-Out To Balcony W/North Views. Lrg Primary Bdrm Features A Double Closet, French Doors Open To Living..."
1718,1 Bloor St 4408,1299000,2,2,Toronto,Church-Yonge Corridor,Bloor St,"One Bloor East - Is An Iconic Residential Address Located At Yonge/Bloor. Impeccable & Modern Finishes. This Highly Upgraded Suite Is One Of A Kind! Great View Of Lake, Incredible Finishes, The Best Functional 2 Bedroom Layout With No Waste Of Space, Engineered..."
1719,73 Mccaul St 529,579000,1,1,,Kensington-Chinatown,Mccaul St,"Located In The Heart Of The Downtown Toronto. A Wonderful 1 Bedroom & 1 Bathroom Unit With A Private Outdoor Balcony Space. Walking Distance To The Ttc Subway & Bus, Many Downtown Hospitals (Uhn), Ocad University Just Across The Street, Ryerson University, University..."
1720,75 Royal Field Cres,649900,3,4,Ottawa,Nepean,Royal Field Cres,"Renovated. Renovated. Renovated. New Plumbing, Electrical, Garage Door. Beautiful Home Waiting For A New Family With All The Modern Comforts. Hardwood And Porcelain Throughout. Main Floor Walk Out To Deck. 2 New Kitchens. 4 New Bathrooms. Bright & Clean, Spacious..."
1721,214 Aberdeen Ave,535000,0,0,Peterborough,Downtown,Aberdeen Ave,"Premium Building Lot Near The Teachers College Featuring The Original Garage, Driveway, Mature Trees, A Level Building Area, And Municipal Services At The Lot Line. This Property Is Surrounded By Beautifully Maintained Century Homes And Towering Trees In Peterborough's..."
1722,70 Park Ave,499900,3,1,Brantford,,,"Beautiful Brick Bungalow With Fantastic Updates!  Open Concept Main Floor With Lvp Flooring, Wood Look Panel Accent Wall And Stunning Kitchen!  Remodelled In 2020 With High End Cabinets, Counters And Appliances.  Centre Island With 5 Bar Stools.  Coffee Bar Flanked By..."
1723,9 Dewsbury Way,999900,3,3,Hamilton,Stoney Creek,Dewsbury Way,"Completely Renovated Home. Modern Design Throughout. This Beauty Boast Bright Open Concept Main-Floor Layout, Eat-In Kitchen With Sliding Door To All Fenced Backyard With Large Covered Porch And Two Sheds. Well Build And Meticulously Maintained With Fine Attention To..."
1724,2411 Shurie Rd,1249900,3+2,3,West Lincoln,,,"Updated 3+2 Beds, 2.5 Bath Bungalow On One Acre. Stunning Grt Rm Fts Vaulted Ceilings, Eng Hrdwd Flooring, & Wood Burning F/P Insert. Gorgeous, Eik Has Quartz C/T, Apron Sink, & S/S Appliances. Garden Door From Kitchen To Rear 3-Tiered Partially Covered Deck. Primary..."
1725,102 Trowbridge St,829000,3+1,2,Meaford,Meaford,Trowbridge St,"Beautiful Century Home Steps To Downtown Meaford & Georgian Bay. 4Bed, 2Bath Red Brick 2 Storey Gem Feat A Grand Foyer, Large Light Filled Principal Rooms, Stunning Sunrm, Original Hardwood Flooring, Built In Cabinetry & A Charming Family Room W Gas Fp. Property Boasts..."
1726,145 Ironwood Dr,1489000,5,3,Amherstburg,,,"Smart Home! Shows Absolutely Beautiful! Features Custom B/I Desks In Bedrooms, B/I Headboard With Wall-To-Wall Cabinets In Primary Bedroom. Cathedral Ceilings, Skylights, Oak Hardwood Floors Throughout, Italian Porcelain Flooring, Granite & Quartz Countertops. Pot..."
1727,43037 Highway 3 Rd,899900,4,2,Wainfleet,,,"Stunning 2 Story Century Home! This Elegant 4 Bdrm 2 Bath Home Boasts Magnificent 10' Ceilings, 12"" Oak Baseboards & Pocket Doors. A Large Eat-In Kitchen, 2nd Floor Laundry & Bonus Area On 2nd Floor Are Just Some Of The Features Of This Beautiful 2,900 Sq Ft Home..."
1728,425 Rayner Rd,699900,2+1,2,Cobourg,Cobourg,Rayner Rd,"Well  Maintained 2 + 1 Br Bungalow Situated In A Great Area Close To The Hospital, School, Shopping And The 401.  You Will  Enjoy Relaxing In Your Private Sun Room Overlooking  The Deck And Back Yard. The  Eat In Kitchen Is Bright  And Cheerful.    The Entire Family..."
1729,189 Stewart St,528000,3+2,2,Stewart St,,,"Vacant Possession - Legal Duplex - Great Central Location & Excellent Investment Opportunity In Peterborough. Entire Duplex Recently Renovated Kitchens/Baths, Freshly Painted With New Doors, Trim& Upgraded Flooring. 2 Bedroom Unit On Second Floor. Main Floor Offers 1..."
1730,1850 Bonnymede Dr,1000000,3+1,2,Mississauga,Clarkson,Bonnymede Dr,Nestled By Vibrant Clarkson Village.3+1 Bdrm Raised Open Concept Semi Bungalow. Fully Sep. 1 Bdrm + Den Updated Lower Level In-Law Apartment(Vacant). Walkout To Large Balcony From Upstairs Living Rm. Full W/O From Lower Level.Incredible 155 Ft Garden Paradise Backyard...
1731,91 Evans Ave,1699000,3,4,,Mimico,Evans Ave,"This Bright Stunning Detached Mimico Home Is Waiting For You! Soaring 11 Foot Ceilings In Kitchen & Great Room. Large Primary Bedroom With Renovated Ensuite. Finished Basement: Rec Room, Mud Room & Separate Entrance To The Fully Fenced Backyard, Deck & Gas Line For Bbq..."
1732,1215 Mcbride Ave,1399900,3+1,4,,Erindale,Mcbride Ave,Absolutely Stunning Detached Bungalow In A Highly Erindale Neighbourhood. 3+1 Bedroom 4 Washroom Beautiful Renovated With Lots Of Natural Light. New Open Concept Kitchen On The Ground Floor With Skylight. Master Ensuite With Floor To Ceiling Window. New Upgraded...
1733,37 Avon Ave,849000,2+2,2,,Rockcliffe-Smythe,Avon Ave,"Welcome To This Beautiful Detached Home! Minutes To High Park!! Tastefully Renovated With Lots Of Upgrades! Lots Of Natural Sunlight! Chef's Eat In Kitchen With Stainless Steel Appliances, Quartz Countertop, Backsplash And Lots More.!! Large Size Rooms! Finished..."
1734,3252 Dundas St,1249900,4,3,,Junction Area,Dundas St,"Calling All Investors! This Semi-Detached Includes 3 Separate Units With A Detached, Double Car Garage With Laneway Potential. 2nd Level Includes 2 Bdrms, 1 Bath. Main Floor Includes 1 Bdrm, 1 Bathroom With A Walk Out To Backyard And The Basement Unit Includes 1 Bdrm..."
1735,13998 Sixth Line,2400000,4,3,Halton Hills,Rural Halton Hills,Sixth Line,"Searching For Paradise? You Have Found It! 3 Beautiful Treed Acres With A Custom 4 Bedroom Bungalow And Extra Outbuilding. Built In 1967 This ""Atomic Ranch"" Bungalow Will Not Disappoint. This Home Has An Open Concept Floor Plan - Great For Entertaining. Floor To..."
1736,364 Wheat Boom Dr,1049000,3,3,Oakville,Rural Oakville,Wheat Boom Dr,"Beautiful End Unit Freehold Townhouse. White Open Concept Kitchen With Centre Island. Granite Counters, Subway Tile Backsplash, Eat-In Breakfast Area. Stunning Dark Hardwood Floors With Matching Staircase, Open From Top Floor To Basement. Large Master Bedroom With..."
1737,166 Silverthorn Ave,1450000,3+1,2,,Weston-Pellam Park,Silverthorn Ave,"Don't Miss Your Opportunity To Own This Carleton Village Gem! This 3+1 Bed, 2 Bath Is Complete With A Basement In-Law Suite With A Separate Entrance. Close To Schools And A Short Walk To Stockyards. Detached Garage With Power, Heat And A/C Perfect For A Garden Suite..."
1738,4 Lansing Sq,899900,4+1,2,Brampton,Heart Lake,Lansing Sq,Pride Of Ownership Throughout This 5-Level Backsplit. This Semi-Detached Offers 4 Bedrooms And Finished Basement. Lots Of Space For A Family To Spread Out. Opportunity To Convert Lower Level To An In-Law Suite With Separate Entrance. Exercise Rm Can Be A 5th Bedrm W...
1739,132 Colbeck St,2099000,4+1,3,Toronto,Runnymede-Bloor West Village,Colbeck St,"Big 4 Bdrm Family Home In Heart Of Bloor West Village! Spacious Principal Rooms, Grand Reno'd Eat-In Kitchen/Fam Rm Addition With Island & Kids' Workspace, Powder Room, Fnshed Bsmnt With Rec Rm, Games Rm, Office/Bdrm & Bath. 1 Block To Subway, Shops, Bakeries, All With..."
1740,11 Sunnyview Rd,1199000,4+3,4,,Fletcher's Meadow,Sunnyview Rd,"Spacious Family Home, Office Or Bedroom On Main Floor, Hardwood Floors On Main Floor, California  Shutters, Stainless Steel Appliances, Over 3000 Sq. Ft. Above Grade, Separate Entrance To Basement, Double  Access To Basement. Property & Fixtures - As-Is Where-Is..."
1741,98 Zina St,849900,3+1,2,Orangeville,Orangeville,Zina St,"See Multimedia For Video Tour Coming Soon! Mid-Century Bungalow On A Roomy Lot = Great Opportunity To Move To A Sought-After Street. Open Concept Main Fl Dining Area W/ Lg Bay Window & B/I Shelving Seamlessly Flows Into Well-Appointed Kit W/ Granite Countertops, Island..."
1742,1152 Riddell Cres,799000,3,3,Milton,Beaty,Riddell Cres,"Bright & Beautiful 3 Bdrm Freehold Townhouse In Fantastic Hawthorn Village! Bright Modern Eat-In Kitchen W/Porcelain Tile Flr, Subway Tile Backsplash, S/S Appl, & W/O To Deck & Yard. Lovely Great Room Area W/Hdwd Flr & Large Window O/Looking The Backyard. 3 Bdrms On..."
1743,21 Hilldale Rd,1299000,3,3,,Rockcliffe-Smythe,Hilldale Rd,"Stunning 2 Storey Semi On A Premium Deep Lot W/Double Car Garage! Exquisite Craftsmanship & Finishes! Luxury Enhanced W/Open Concept Live Dine Combo, Pot Lights Galore, Smooth Ceils, Glass Rails & Rustic Wide Plank Hrdwd. Modern Chefs Kitchen With Tons Of Extended Cab..."
1744,24 Morland Rd,1249900,3,1,Morland Rd,,,"Spacious Detached Situated In A Prime, Nestled Highly Sought After Pocket Of Junction, South Of Dundas. Approved Plans For Aprx. 2228 Sf 3-Storey Above Grade Product W/ 3+1 Beds & 5 Wshrms. Deep Private Backyard. Existing Clean 2-Storey Detached W/3 Beds Great For..."
1745,2044 Seabrook Dr,1399000,3,1,Oakville,Bronte West,Seabrook Dr,"Great Opportunity To Acquire A Banuglow Or Build Your Custom Dream Home On A  63 X 119 Ft Lot  Located In A Desirable Pocket Surrounded By Million Dollar Homes. Just Steps From Seabrook Park. House Is Being Sold In ""As Is"" Condition. Close To Qew, Go, Transit, Parks..."
1746,4031 Sixth Line,1299000,3,3,,Rural Oakville,Sixth Line,"Gorgeous Rose Haven Built 1992 Sq Ft End Unit  Bright 3 Bdrm, 2.5 Bath, Main Flr W/9' Ceilings, Kit W/, Brkfst Counter, Quartz, B/S, S/S Appls & W/O To Deck. Master Retreat W, En-Suite W/Glass Shower & Soaker Tub. 2 Good Sized Bdrms, 2 Baths & Convenient 2nd Level..."
1747,1476 Duncan Rd,2800000,3+1,3,,Eastlake,Duncan Rd,"Wonderful Bungalow On 85' X 142' Lot, Newer Baths, Modern Kitchen, Finished Basement-Truly A Family Friendly Home, Huge Gorgeous Backyard, Inground Heated Pool, Private Driveway - All This Adorned With Extensive Mature Gardens Front And Back In The Magnificent Location..."
1748,14280 Highway 12,1099000,2+2,2,Tay,Waubaushene,Highway 12,"Bungalow With An In-Law Suite & Incredible Shop On Nearly 20-Acres! Beautiful Icf Bungalow On A Picture-Perfect Lot With A Sprawling Lawn & Mature Trees! Mins From Hwy 400 Access, Trans Canada Trail, & Georgian Bay! Huge Detached Shop Offers Endless Possibilities..."
1749,7 Trevino Circ,750000,3,2,Barrie,East Bayfield,Trevino Circ,"Top 5 Reasons You Will Love This Townhome: 1) Fully Renovated 2-Storey Townhome With Newer Flooring Throughout, Freshly Painted Walls, And An Updated Kitchen 2) Open-Concept Main Level With A Walkout To The Back Deck 3) Attached Garage With Inside Entry 4) Low-Traffic..."
1750,37 The Board Walk,329900,2,1,Wasaga Beach,Wasaga Beach,The Board Walk,"Adult Lifestyle Living In This Gated Land Leased Community For Aged 55 & Over. Great For Active Social People With Recreation Centre Which Includes Indoor Pool, Exercise Room, Library, Event Room (Social Gatherings Like Dances & Dinners) Plus A Billiards Room. All..."
1751,1089 Langford Blvd,1499000,4,4,Bradford West Gwillimbury,Bradford,Langford Blvd,"Welcome To This Magnificent 2800 Sq Ft Home Built By Aspen Ridge With Walk-Out Basement. This Home Boasts Premium Elevation C Exterior With Lots Of Builder Upgrades Such As Hardwood Throughout The Main Floor, Marble Countertops And Backsplash In The Chef's Kitchen..."
1752,184 Ways Bay Dr,938000,2,1,Georgina,Keswick North,Ways Bay Dr,"Amazing Central Location! Beautiful Fully Renovated Bungalow With Big Window, Spotlight, New Kitchen, New Bathroom, New Appliances, New Flooring, And Additional Bedroom. Close To Schools, Shops, Transit. Including Fridge, Stove, Washer, Dryer, Elfs, Window Coverings."
1753,10 Warren Bradley St,1788000,4,3,Markham,Berczy,Warren Bradley St,"A Rare Opportunity To Own This Stunning, Modern, Detached 4 Bedroom Home On A Premium Large Corner Lot In The Berczy**Approx 2900Sqf**Facing To Park. Hdwd Fl Thr.Out Main&2nd Fl. California Shutter Thr.Out.Freshely Painted,Upgrade Kitchen W/ Quartzes Counter Top And..."
1754,15 Provence Crt,7995000,4,6,Richmond Hill,Rural Richmond Hill,Provence Crt,"Meticulous Meets Magnificence. A Contemporary Masterpiece That Stuns In Its Minimalist Opulence And Tasteful Grandeur. The Interior Offers Over 11,700 Sf Of Potential Living Space Flowing Seamlessly With Impeccable Finishes, Soaring Ceilings & A Kitchen For The..."
1755,293 Annsheila Dr,499000,4,1,,Keswick South,Annsheila Dr,This Sprawling Bungalow Is Situated On A Premium 60' X 221' Lot Just Steps From Lake Simcoe & Handy To The Highway For Commuters! A Newer Addition (Requires Finishing Touches) At The Back Of The House Provides A Walkout Off The Family Room (Presently Used As A Dining...
1756,79 Evans Rd,1349000,4,4,New Tecumseth,Alliston,Evans Rd,"Outstanding 3000 Sq Ft Home Boasting A Rare 180 Ft Deep Mature Lot! Beautifully Landscaped And Fenced With An Entertainers Deck. Polished Throughout! Buyers Will Love The Open Layout, 9 Ft Ceilings, Gorgeous Espresso H/Wd Floors, 4 Br's, 2 With Ensuites, 2 With Semi..."
1757,1971 Romina Crt,1099900,4+1,4,Innisfil,Alcona,Romina Crt,Bright & Spacious 2-Storey 4+1 Bedrooms 3.5 Bath Home Located In The Heart Of Innisfil!  Home Features A Pool Sized Lot | Renovated Kitchen With High End Stainless Steel Appliances | Renovated Bathrooms |landscaping With New Pattern Concrete In Front And...
1758,458 William Dunn Cres,999999,3,3,Newmarket,Summerhill Estates,William Dunn Cres,"Impressive Townhome Located In A Sought After Summerhill Estate Community. Surrounded By 28 Acres Of Pristine Conservation Land. Family Friendly Street. Walking Trails, Parks, Playgrounds, Excellent Schools And Much More. Exceptionally Functional Layout, Fireplace..."
1759,137 Spruce St,988888,3+1,4,Aurora,Aurora Village,Spruce St,"Completely Renovated Top To Bottom In The Heart Of Aurora Close To Yonge And Wellington With Lots Of Upgrades Including: Brand New Modern And Stylish Kitchen, New Finished Basement With Beautiful Laminate And Luxury 3 Pcs Washroom With Glass Shower And One Bedroom In..."
1760,14 Seinecliffe Rd,5900000,4+1,7,Markham,Bayview Glen,Seinecliffe Rd,"Welcome To ~*14 Seinecliffe Rd*~ An Expression Of Uplifting Modernist Architecture!~ Offering Generous Geometric Open Spaces, Embracing Dramatic Vertical & Horizontal Lines, Bringing Natural Light & The Colours Of Nature Indoors!~* Privately Set On Nearly 1/2 An Acre..."
1761,14 Pine Hill Cres,1990000,5,5,,Aurora Estates,Pine Hill Cres,Sunfilled Executive 5 Bedroom 5 Washroom Home In Woodhaven Community By Brookfield.3670Sqf Amethyst Model(Same As Builder's Model Home In 50F Collection).$$$ On Upgrades. Large Upgraded Kitchen W/Servery Area & Pantry. Spacious Breakfast Area Overlooking Backyard...
1762,74 Wolfrey Ave,1199000,2+2,2,Toronto,North Riverdale,Wolfrey Ave,"Live On One Of Riverdale's Most Coveted Streets! This Gorgeous Semi Is Sure To Take Your Breath Away-No Detail Has Been Overlooked, Professionally Designed By Lc & Kel Interiors. This Home's Character Has Been Beautifully Maintained & Updated Throughout-Making It..."
1763,54 Bettina Pl,999000,3,3,Whitby,Rolling Acres,Bettina Pl,A Gorgeous Home In A Very Desirable Whitby Location! Gleaming Hardwood Floor Through!! Potlight Galore On The Main Floor Double Door Entrance With Sunken Foyer!! Upgraded Kitchen Cabinets With Quartz Counter Top! Stainless Steep Appliances! California Shutters All...
1764,792 Eastbourne Ave,799990,3+1,2,Oshawa,Eastdale,Eastbourne Ave,"Welcome Home! This Beautiful 3+1 Bed, 2 Bath Bungalow Is Located In The Heart Of Oshawa Near Schools & All Major Amenities. Home Fitted W/ Updates In '19 Incld. Laminate Throughout, New Furnace & A/C, Finished Bsmt. Main Floor Has Room For The Whole Family Featuring..."
1765,40 Hiltz Ave,799900,2,2,,Greenwood-Coxwell,Hiltz Ave,"This Is Your Opportunity To Unleash Your Inner Interior Designer! Ideally Located, Only 20 Doors From Queen, And Backing Onto Greenspace, This Home Is Steps To Mira Mira, Queen Margherita Pizza, Omnia Coffee Roasters, Blondies And Greenwood Park (Off Leash, Leslieville..."
1766,41 Neilson Ave,1399000,2,1,,Cliffcrest,Neilson Ave,"Attention Investors, Builders, Developers; Great Opportunity To Live In Or Build Your Custom Dream Home Overlooking The Bluffs.3000 Sq Ft House With Around 1500 Sqft Basement With 2 Separate In Law Units Have Been Approved. Ready To Build In Approximately In 2 Months..."
1767,21 Fintona Ave,899000,3+1,2,,Guildwood,Fintona Ave,"Att'n "" Renovators/Builders/End Users"" Great Opportunity To Reno This Solid 3 + 1 Bed, 2 Bath Brick Bungalow Located In The Highly Sought After Guildwood Community On A Leafy Street Boasting A 45 Ft South Facing Private Mature Treed Lot. Potential For A 2nd Floor..."
1768,100 Erickson Dr,1099000,5+1,4,,Blue Grass Meadows,Erickson Dr,"This Outstanding All Brick House Features $$$$ Updated!Living Room W/Hardwood Floor & Large Bay Window.Cozy Family Room W/Fireplace.Brand New Renovated Kitchen Features Ceramic Floor,Granite Countertop, Gas Stove, Brand New Built-In Oven/Microwave, Eat-In Area & Walk..."
